iter	Logloss
0	0.6905429501
1	0.6876170222
2	0.6839121327
3	0.6817430257
4	0.679192515
5	0.6768888315
6	0.6738550191
7	0.6699507641
8	0.6680882706
9	0.6637157208
10	0.6605735593
11	0.6578096067
12	0.6559753162
13	0.653421419
14	0.6505218363
15	0.6471456628
16	0.6431025305
17	0.6396096587
18	0.6372808649
19	0.634883014
20	0.6310303864
21	0.6283889329
22	0.6265583494
23	0.6240928295
24	0.6216975195
25	0.61983965
26	0.6168968318
27	0.6142603317
28	0.6109202949
29	0.6088546986
30	0.6075899974
31	0.6064170984
32	0.6044984578
33	0.6014995939
34	0.6001254872
35	0.5975756386
36	0.5953036227
37	0.5930311667
38	0.5917535996
39	0.5892245437
40	0.5867721885
41	0.5847365054
42	0.5829725331
43	0.5808435395
44	0.5785885869
45	0.5767524709
46	0.5749554948
47	0.5740044803
48	0.572095912
49	0.5698061298
50	0.5670331685
51	0.5633260284
52	0.5619749626
