iter	Passed	Remaining
0	146	73146
1	157	39136
2	168	27872
3	178	22119
4	189	18738
5	200	16486
6	210	14846
7	221	13627
8	231	12631
9	242	11879
10	252	11238
11	263	10712
12	273	10264
13	284	9873
14	294	9531
15	304	9226
16	315	8967
17	326	8731
18	336	8516
19	347	8337
20	357	8161
21	368	8010
22	378	7856
23	389	7728
24	400	7603
25	410	7489
26	421	7381
27	431	7280
28	442	7190
29	453	7100
30	463	7013
31	474	6933
32	485	6867
33	496	6801
34	507	6739
35	517	6675
36	528	6614
37	540	6577
38	552	6526
39	563	6476
40	573	6424
41	584	6374
42	595	6332
43	606	6282
44	616	6237
45	628	6198
46	638	6157
47	649	6118
48	660	6077
49	671	6040
50	682	6004
51	692	5965
52	703	5930
